,count
cracker,6
cracked,6
carl,6
large,6
liked,6
gorilla,6
rose,6
grindin,6
greener,6
grade,6
plain,6
uzi,6
pages,6
stole,6
jermaine,6
ahh,6
usually,6
ed,6
fangs,6
smack,6
quitter,6
contributors,6
contribute,6
peek,6
continuing,6
continue,6
chased,6
fallin,6
bathroom,6
haven,6
cook,6
hearts,6
rub,6
pity,6
wheel,6
representin,6
agreee,6
swam,6
joe,6
corn,6
bear,6
porsche,6
privacy,6
quo,6
ricomob,6
scar,6
aid,6
site,6
trigger,6
prison,6
banging,6
mini,6
groove,6
victim,6
64,6
writing,6
weight,6
alligators,6
verified,6
verify,6
henges,6
sticks,6
hennessey,6
skip,6
races,6
signed,6
auh,6
choose,6
allegiance,6
rocking,6
mixed,6
patch,6
poor,6
tu,6
fist,6
mjg,6
cage,6
firm,6
tragedy,6
tub,6
landed,6
cadillac,6
mcs,6
silly,6
flame,6
trapp,6
mob,6
44macs,6
crusaders,6
multi,6
flames,6
niggers,6
proper,6
cream,6
earthquake,5
percent,5
15,5
emotions,5
gutter,5
fitting,5
digging,5
grateful,5
yellin,5
stompin,5
able,5
phones,5
working,5
hoping,5
gain,5
pledge,5
swap,5
tank,5
springs,5
hearin,5
hmm,5
hospital,5
swag,5
established,5
halle,5
alpine,5
47,5
ac,5
groceries,5
wop,5
rights,5
sane,5
support,5
nuthin,5
plastered,5
habitat,5
stomach,5
easily,5
dial,5
roam,5
eddie,5
rims,5
roar,5
phony,5
horror,5
pastor,5
strangled,5
stomped,5
philly,5
gyeah,5
allowed,5
fucks,5
fives,5
rhythm,5
pistols,5
wrestle,5
aha,5
sub,5
nappy,5
named,5
flag,5
goldie,5
react,5
steam,5
wrap,5
advance,5
string,5
paying,5
suggest,5
animal,5
normal,5
holy,5
field,5
genius,5
murdered,5
adrenaline,5
gossip,5
affair,5
movement,5
thangs,5
payin,5
strike,5
exactly,5
mount,5
pimpin,5
yah,5
stilettos,5
personal,5
reached,5
zip,5
fightin,5
angeles,5
george,5
dizzy,5
range,5
heights,5
flying,5
surface,5
mud,5
yak,5
actually,5
sporadic,5
force,5
penis,5
agony,5
naughty,5
grows,5
911,5
france,5
greetings,5
hat,5
nets,5
freaky,5
muthafuckin,5
filled,5
drew,5
swerving,5
hooker,5
steel,5
nervous,5
stoop,5
90s,5
frame,5
pennies,5
rice,5
survival,5
scene,5
stroll,5
science,5
temp,5
peeled,5
satan,5
sunshine,5
muggs,5
disaster,5
test,5
sprayin,5
godzilla,5
swimming,5
dump,5
needed,5
bloodier,5
season,5
buster,5
bustin,5
curtains,5
cursed,5
awake,5
loaded,5
buyin,5
cab,5
sending,5
president,5
chosen,5
tossed,5
ounces,5
weenies,5
vibe,5
jam,5
lit,5
promised,5
benzes,5
listeners,5
bentley,5
royalty,5
winning,5
lipstick,5
busters,5
warning,5
jets,5
lack,5
bubble,5
clever,5
danger,5
queenie,5
settle,5
props,5
claimin,5
asking,5
sentence,5
virgin,5
mommy,5
prepare,5
learned,5
radio,5
awkward,5
assault,5
cutie,5
burning,5
burns,5
present,5
cuss,5
overseas,5
bussin,5
universal,5
cameras,5
tour,5
inspired,5
skam,5
checks,5
bee,5
older,5
cowards,5
meets,5
vamo,5
whats,5
invadin,5
sink,5
sinner,5
automatic,5
letters,5
cpt,5
lesson,5
primetime,5
menage,5
melody,5
charleston,5
whatcha,5
rope,5
leaves,5
regret,5
licorice,5
interviews,5
cheek,5
shall,5
cape,5
cost,5
capital,5
cryin,5
limelight,5
puttin,5
laughin,5
capture,5
couch,5
chicago,5
crumb,5
cousins,5
coughed,5
jackets,5
chi,5
jacked,5
crown,5
coup,5
skate,5
lies,5
snowmobiles,5
ups,5
ashamed,5
si,5
bringin,5
bless,5
borrow,5
rumors,5
public,5
luxury,5
post,5
bae,5
brick,5
breaks,5
kani,5
marijuana,5
bright,5
timbaland,5
bombs,5
pour,5
trophies,5
sheets,5
margiela,5
shells,5
orders,5
tints,5
brace,5
bait,5
confuse,5
journey,5
mid,5
spillin,5
cocked,5
brakes,5
spill,5
rumor,5
walkman,5
joy,5
pow,5
martinis,5
punches,5
truly,5
closely,5
constantly,5
opportunity,5
warren,5
opinions,5
appreciate,5
sleeve,5
condom,5
quite,5
defeat,5
shitty,5
ugh,5
precinct,5
vocal,5
mothafucker,5
turf,5
karl,5
twin,5
killa,5
mothafucka,5
houses,5
replay,5
wantin,5
dee,5
maggots,5
consequences,5
desire,5
keith,4
slice,4
slightest,4
ace,4
child,4
laughing,4
launching,4
schemin,4
powder,4
uhhh,4
cheddar,4
upper,4
poverty,4
fancy,4
situation,4
schools,4
turbo,4
prince,4
familia,4
leaguers,4
useless,4
league,4
energy,4
accept,4
leaf,4
pin,4
prime,4
enjoy,4
millenium,4
staring,4
pause,4
fail,4
piano,4
sergeant,4
uno,4
swish,4
quickly,4
escaped,4
coat,4
presence,4
guarantee,4
steps,4
cide,4
undone,4
escena,4
stepped,4
fumble,4
undertow,4
kurupt,4
slab,4
undercover,4
hahaha,4
spittin,4
esta,4
barkin,4
yg,4
classic,4
syrup,4
everytime,4
richer,4
knocking,4
clearly,4
bankhead,4
knocked,4
stayin,4
mexican,4
ohh,4
banana,4
gs,4
whitney,4
reggie,4
acid,4
mentally,4
grill,4
stingers,4
natural,4
swingin,4
choice,4
khakis,4
kitty,4
picking,4
basement,4
choo,4
pranksters,4
lamb,4
er,4
chose,4
hallway,4
pills,4
eric,4
hallelujah,4
christmas,4
route,4
nas,4
tah,4
baseball,4
yelled,4
base,4
robbed,4
actors,4
leanin,4
shakin,4
battles,4
strings,4
birth,4
rushin,4
focus,4
focused,4
loyal,4
